Species;Common name;Order;Family;Status;Status_code;Sizemin;Sizemax;Migratory status;migrant_code;Population trend;Trend_code;Extent of occurrence (km2);Generation length (yrs);SSI_Diet;SSI_Habitat;Neartic;Paleartic;Afrotropical;Neotropical;Indomalayan;Australasian;Oceanic
Empidonax difficilis;Pacific-slope Flycatcher;Passeriformes;Tyrannidae;Least Concern;1;14;17;full migrant;3;Decreasing;1;3520000;3.7;1.58113883;3.4278273;1;0;0;0;0;0;0
Empidonax flavescens;Yellowish Flycatcher;Passeriformes;Tyrannidae;Least Concern;1;12.5;14;not a migrant;1;Stable;2;496000;3.7;1.58113883;3.4278273;0;0;0;1;0;0;0
Empidonax flaviventris;Yellow-bellied Flycatcher;Passeriformes;Tyrannidae;Least Concern;1;12.5;15;full migrant;3;Increasing;3;7140000;3.7;1.58113883;2.318404624;1;0;0;1;0;0;0
Empidonax fulvifrons;Buff-breasted Flycatcher;Passeriformes;Tyrannidae;Least Concern;1;11.5;13;full migrant;3;Decreasing;1;1460000;3.7;2.449489743;2.507132682;1;0;0;1;0;0;0
Empidonax hammondii;Hammond's Flycatcher;Passeriformes;Tyrannidae;Least Concern;1;12.5;14.5;full migrant;3;Increasing;3;5290000;3.8;2.449489743;3.4278273;1;0;0;1;0;0;0
Empidonax minimus;Least Flycatcher;Passeriformes;Tyrannidae;Least Concern;1;12.5;14;full migrant;3;Decreasing;1;9270000;3.4;1.58113883;2.507132682;1;0;0;1;0;0;0
Empidonax oberholseri;American Dusky Flycatcher;Passeriformes;Tyrannidae;Least Concern;1;13;15.2;full migrant;3;Decreasing;1;4210000;3.8;2.449489743;3.4278273;1;0;0;1;0;0;0
Empidonax occidentalis;Cordilleran Flycatcher;Passeriformes;Tyrannidae;Least Concern;1;13;17;full migrant;3;Decreasing;1;4920000;3.7;1.58113883;4;1;0;0;0;0;0;0
Empidonax traillii;Willow Flycatcher;Passeriformes;Tyrannidae;Least Concern;1;13.3;17;full migrant;3;Decreasing;1;9860000;3.9;1.58113883;2.738612788;1;0;0;1;0;0;0
Empidonax virescens;Acadian Flycatcher;Passeriformes;Tyrannidae;Least Concern;1;13;14.5;full migrant;3;Stable;2;4320000;3.7;1.58113883;2.738612788;1;0;0;1;0;0;0
Empidonax wrightii;American Grey Flycatcher;Passeriformes;Tyrannidae;Least Concern;1;14;15.5;full migrant;3;Increasing;3;1820000;3.7;1.58113883;3.4278273;1;0;0;0;0;0;0
Empidonomus varius;Variegated Flycatcher;Passeriformes;Tyrannidae;Least Concern;1;18;19;full migrant;3;Stable;2;12900000;3.6;1.58113883;3.4278273;1;0;0;1;0;0;0
