Bird_scientific_name,redlistCategory,Migratory_status,Single_island_endemic,Evidence,Eradication_ID,Eradication_status,Island_Name,Archipelago,Region,Country,Longitude,Latitude,Rodent_attributed_final
Ardenna grisea,Near Threatened,Full migrant,no,Population study without data in support,2278,Successful (Reinvaded),Stuck Anchor Rock,Bay of Islands (Black Rocks),Pacific Ocean - South West,New Zealand,174.1122491,-35.21017846,Rattus norvegicus
Ardenna grisea,Near Threatened,Full migrant,no,Population study without data in support,143,Successful,Taranaki,Bay of Islands,Pacific Ocean - South West,New Zealand,174.0135833,-35.20377585,Rattus norvegicus
Ardenna grisea,Near Threatened,Full migrant,no,Population study without data in support,1858,Successful,Te Ao,Bay of Islands (Urupukapuka),Pacific Ocean - South West,New Zealand,174.2414585,-35.22760283,Rattus norvegicus
Ardenna grisea,Near Threatened,Full migrant,no,Population study without data in support,860,Successful,Te Haupa (Saddle),Hauraki Gulf,Pacific Ocean - South West,New Zealand,174.7477144,-36.5116953,Rattus norvegicus
Cinclodes antarcticus,Near Threatened,Not a Migrant,no,Population study with all qualities in support,59,Successful,Tea,Falkland Islands (Beaver Island Group),Atlantic Ocean - South,Falkland Islands (Malvinas),-61.17215022,-51.90310617,Rattus norvegicus
Eudyptes chrysolophus,Vulnerable,Full migrant,no,No studies found,59,Successful,Tea,Falkland Islands (Beaver Island Group),Atlantic Ocean - South,Falkland Islands (Malvinas),-61.17215022,-51.90310617,Rattus norvegicus
Ardenna grisea,Near Threatened,Full migrant,no,Population study without data in support,2268,Successful (Reinvaded),Tern Rock,Bay of Islands (Black Rocks),Pacific Ocean - South West,New Zealand,174.1091402,-35.19912512,Rattus norvegicus
Cinclodes antarcticus,Near Threatened,Not a Migrant,no,Population study with all qualities in support,3045,To Be Confirmed,Tickle,Falkland Islands (Falkland Sound),Atlantic Ocean - South,Falkland Islands (Malvinas),-59.65462602,-51.99217568,Rattus norvegicus
Eudyptes chrysolophus,Vulnerable,Full migrant,no,No studies found,3045,To Be Confirmed,Tickle,Falkland Islands (Falkland Sound),Atlantic Ocean - South,Falkland Islands (Malvinas),-59.65462602,-51.99217568,Rattus norvegicus
Himantopus novaezelandiae,Critically Endangered,Not a Migrant,no,No studies found,323,Successful,Tinui,Rangitoto Islands,Pacific Ocean - South West,New Zealand,173.9688262,-40.7760022,Rattus norvegicus
Cyanoramphus auriceps,Near Threatened,Not a Migrant,no,No studies found,1299,Successful,Titi,Marlborough Sound,Pacific Ocean - South West,New Zealand,174.1392583,-40.9511942,Rattus norvegicus
Fratercula arctica,Vulnerable,Full migrant,no,Population study with data in support,233,Successful,Tomé,Brittany,Atlantic Ocean - North,France,-3.40799924,48.83668591,Rattus norvegicus
Ardenna grisea,Near Threatened,Full migrant,no,Population study without data in support,32,Successful,Top,Falkland Islands (Blanco Bay),Atlantic Ocean - South,Falkland Islands (Malvinas),-57.74516621,-51.67238694,Rattus norvegicus
Cinclodes antarcticus,Near Threatened,Not a Migrant,no,Population study with all qualities in support,3038,Successful (Reinvaded),Top Island Centre Islet,Falkland Islands (River Harbour),Atlantic Ocean - South,Falkland Islands (Malvinas),-59.7530311,-51.43010297,Rattus norvegicus
Eudyptes chrysolophus,Vulnerable,Full migrant,no,No studies found,3038,Successful (Reinvaded),Top Island Centre Islet,Falkland Islands (River Harbour),Atlantic Ocean - South,Falkland Islands (Malvinas),-59.7530311,-51.43010297,Rattus norvegicus
Cinclodes antarcticus,Near Threatened,Not a Migrant,no,Population study with all qualities in support,3037,Successful (Reinvaded),Top Island East Islet,Falkland Islands (River Harbour),Atlantic Ocean - South,Falkland Islands (Malvinas),-59.74607169,-51.42928583,Rattus norvegicus
Eudyptes chrysolophus,Vulnerable,Full migrant,no,No studies found,3037,Successful (Reinvaded),Top Island East Islet,Falkland Islands (River Harbour),Atlantic Ocean - South,Falkland Islands (Malvinas),-59.74607169,-51.42928583,Rattus norvegicus
Cinclodes antarcticus,Near Threatened,Not a Migrant,no,Population study with all qualities in support,3040,Successful (Reinvaded),Top Island West Islet,Falkland Islands (River Harbour),Atlantic Ocean - South,Falkland Islands (Malvinas),-59.76090442,-51.43147354,Rattus norvegicus
Eudyptes chrysolophus,Vulnerable,Full migrant,no,No studies found,3040,Successful (Reinvaded),Top Island West Islet,Falkland Islands (River Harbour),Atlantic Ocean - South,Falkland Islands (Malvinas),-59.76090442,-51.43147354,Rattus norvegicus
Fratercula arctica,Vulnerable,Full migrant,no,Population study with data in support,257,Successful,Trielen,Molne Archipelago,Atlantic Ocean - North,France,-4.93825292,48.37264584,Rattus norvegicus
Nestor meridionalis,Vulnerable,Not a Migrant,no,No studies found,824,Successful (Reinvaded),Ulva,Stewart Islands,Pacific Ocean - South West,New Zealand,168.132651,-46.93233514,Rattus norvegicus
Nestor meridionalis,Vulnerable,Not a Migrant,no,No studies found,2154,Successful (Reinvaded),Ulva,Stewart Islands,Pacific Ocean - South West,New Zealand,168.132651,-46.93233514,Rattus norvegicus
Ardenna grisea,Near Threatened,Full migrant,no,Population study without data in support,1199,Successful (Reinvaded),Unnamed Cape Wiwiki A (Snail Rock),Bay of Islands (Cape Wiwiki),Pacific Ocean - South West,New Zealand,174.1222147,-35.15366114,Rattus norvegicus
Ardenna grisea,Near Threatened,Full migrant,no,Population study without data in support,1200,Successful (Reinvaded),Unnamed Cape Wiwiki B (Gorse Island),Bay of Islands (Cape Wiwiki),Pacific Ocean - South West,New Zealand,174.1215032,-35.15274242,Rattus norvegicus
Ardenna grisea,Near Threatened,Full migrant,no,Population study without data in support,1839,Successful,Urupukapuka,Bay of Islands,Pacific Ocean - South West,New Zealand,174.2318392,-35.21482764,Rattus norvegicus
Ardenna grisea,Near Threatened,Full migrant,no,Population study without data in support,2512,Successful,Urupukapuka,Bay of Islands,Pacific Ocean - South West,New Zealand,174.2318392,-35.21482764,Rattus norvegicus
Ardenna grisea,Near Threatened,Full migrant,no,Population study without data in support,2513,Successful,Urupukapuka,Bay of Islands,Pacific Ocean - South West,New Zealand,174.2318392,-35.21482764,Rattus norvegicus
Ardenna grisea,Near Threatened,Full migrant,no,Population study without data in support,1847,Successful,Waewaetorea,Bay of Islands,Pacific Ocean - South West,New Zealand,174.2159249,-35.20454206,Rattus norvegicus
Nestor meridionalis,Vulnerable,Not a Migrant,no,No studies found,1847,Successful,Waewaetorea,Bay of Islands,Pacific Ocean - South West,New Zealand,174.2159249,-35.20454206,Rattus norvegicus
Ardenna grisea,Near Threatened,Full migrant,no,Population study without data in support,1197,Successful,Wainui,Bay of Islands,Pacific Ocean - South West,New Zealand,174.0071967,-35.19899865,Rattus norvegicus
Ardenna grisea,Near Threatened,Full migrant,no,Population study without data in support,1207,Successful (Reinvaded),West Atoll,Bay of Islands (Black Rocks),Pacific Ocean - South West,New Zealand,174.0789085,-35.20218735,Rattus norvegicus
Ardenna grisea,Near Threatened,Full migrant,no,Population study without data in support,2266,Successful (Reinvaded),West Tern Rock,Bay of Islands (Black Rocks),Pacific Ocean - South West,New Zealand,174.1067185,-35.19931853,Rattus norvegicus
Himantopus novaezelandiae,Critically Endangered,Not a Migrant,no,No studies found,386,Successful,Whakaterepapanui,Rangitoto Islands,Pacific Ocean - South West,New Zealand,173.9931919,-40.75332759,Rattus norvegicus
Fregetta maoriana,Critically Endangered,Not a Migrant,no,No studies found,1117,Successful,Arch,Mokohinau Islands,Pacific Ocean - South West,New Zealand,175.1016881,-35.91047344,Rattus exulans
Fregetta maoriana,Critically Endangered,Not a Migrant,no,No studies found,445,Successful,Atihau (Trig),Mokohinau Islands,Pacific Ocean - South West,New Zealand,175.098831,-35.91326645,Rattus exulans
Nesofregetta fuliginosa,Endangered,Full migrant,no,No studies found,2458,Successful,Big Ambo,Line Islands (Kiritimati),Pacific Ocean - North East,Kiribati,-157.4321447,1.838159457,Rattus exulans
Nesofregetta fuliginosa,Endangered,Full migrant,no,No studies found,2441,Successful,Big Fred/Tonga,Line Islands (Kiritimati),Pacific Ocean - North East,Kiribati,-157.4153966,1.846677037,Rattus exulans
Nesofregetta fuliginosa,Endangered,Full migrant,no,No studies found,2437,Successful (Reinvaded),Big Nimroona,Line Islands (Kiritimati),Pacific Ocean - North East,Kiribati,-157.4243272,1.830097698,Rattus exulans
Nesofregetta fuliginosa,Endangered,Full migrant,no,No studies found,2460,Successful,Big Tibo,Line Islands (Kiritimati),Pacific Ocean - North East,Kiribati,-157.4393497,1.842800604,Rattus exulans
Megapodius laperouse,Near Threatened,Not a Migrant,no,All studies are not in support,876,Successful,Cocos,Mariana Islands,Pacific Ocean - North West,Guam,144.6515132,13.23791283,Rattus exulans
Pterodroma pycrofti,Vulnerable,Full migrant,no,Population study with data in support,325,Successful,Coppermine,Hen and Chicken Islands,Pacific Ocean - South West,New Zealand,174.7721267,-35.8886159,Rattus exulans
