Avonet_Species,Genus,Family,Order,Habitat,Primary.Lifestyle,Mass,Status,Source,scientificName,Bird_Type_Coarse,Volancy,IslandEndemic,Volancy_Source,Migratory_status,Extent_of_occurrence_km2,Generation_length_yrs,Neartic,Paleartic,Afrotropical,Neotropical,Indomalayan,Australasian,Oceanic,Breeding_Distribution,Number_islands_extant,Parasite,Mound,NestSite_ground,NestSite_tree,NestSite_nontree,NestSite_cliff_bank,NestSite_underground,NestSite_waterbody,NestSite_termite_ant,Bird_Type
Icterus northropi,Icterus,Icteridae,Passeriformes,Forest,Insessorial,40,Extant,,Icterus northropi,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,8200,5.2,0,0,0,1,0,0,0,Islands,4,0,0,0,1,1,0,0,0,0,Landbirds
Icterus oberi,Icterus,Icteridae,Passeriformes,Forest,Insessorial,35.7866666666667,Extant,,Icterus oberi,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,30,6.1,0,0,0,1,0,0,0,Islands,1,0,0,0,0,1,0,0,0,0,Landbirds
Lalage newtoni,Lalage,Campephagidae,Passeriformes,Forest,Insessorial,42.9,Extant,,Lalage newtoni,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,34,4.6,0,0,1,0,0,0,0,,,0,0,0,1,0,0,0,0,0,Landbirds
Lanius newtoni,Lanius,Laniidae,Passeriformes,Forest,Insessorial,22.4,Extant,,Lanius newtoni,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,190,3.9,0,0,1,0,0,0,0,Islands,1,,,,,,,,,,Landbirds
Larosterna inca,Larosterna,Laridae,Charadriiformes,Marine,Aerial,219,Extant,,Larosterna inca,Landbirds,Volant,No,Sayol et al. 2020 Sci Adv,full migrant,1650000,11,0,0,0,1,0,0,0,,,0,0,1,0,0,1,1,0,0,Landbirds
Larus audouinii,Larus,Laridae,Charadriiformes,Marine,Aerial,534.99,Extant,,Larus audouinii,Landbirds,Volant,No,Sayol et al. 2020 Sci Adv,full migrant,2200000,13,0,1,1,0,0,0,0,,,0,0,1,0,0,0,0,0,0,Landbirds
Larus bulleri,Larus,Laridae,Charadriiformes,Riverine,Generalist,230.16,Extant,,Larus bulleri,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,full migrant,394000,11.5,0,0,0,0,0,1,1,Islands,2,0,0,1,0,0,0,0,0,0,Landbirds
Larus fuliginosus,Larus,Laridae,Charadriiformes,Coastal,Aerial,380,Extant,,Larus fuliginosus,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,40300,6,0,0,0,1,0,0,0,,,0,0,1,0,0,0,0,0,0,Landbirds
Larus heermanni,Larus,Laridae,Charadriiformes,Coastal,Aerial,499.993333333333,Extant,,Larus heermanni,Landbirds,Volant,No,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,Landbirds
Laterallus spilonota,Laterallus,Rallidae,Gruiformes,Forest,Terrestrial,40.22,Extant,,Laterallus spilonota,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,2000,3.7,0,0,0,1,0,0,0,,,0,0,1,0,0,0,0,0,0,Landbirds
Leptotila wellsi,Leptotila,Columbidae,Columbiformes,Woodland,Terrestrial,200,Extant,,Leptotila wellsi,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,70,4.2,0,0,0,1,0,0,0,Islands,1,0,0,0,0,1,0,0,0,0,Landbirds
Leucocarbo campbelli,Leucocarbo,Phalacrocoracidae,Suliformes,Marine,Aquatic,1897.38,Extant,,Leucocarbo campbelli,Seabirds,Volant,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,0,0,1,0,0,1,0,0,0,Seabirds
