Rodent_species,Location,scientificName,min_difference,max_difference,median_difference,cat_arrival
Rattus rattus,Reunion,Nesoenas duboisi,4,55,29.5,Extinction within 100 years of arrival
Rattus norvegicus,Reunion,Nesoenas duboisi,-61,-10,-35.5,Extinction before arrival
Rattus exulans,"Aguijan, Northern Mariana Islands, USA",Acrocephalus nijoi,995,999,997,Extinction at least 500-999 years after arrival
Rattus norvegicus,"Aguijan, Northern Mariana Islands, USA",Acrocephalus nijoi,96,124,110,Extinction within 100 years of arrival
Rattus norvegicus,Reunion,Foudia delloni,-63,-63,-63,Extinction before arrival
Rattus exulans,"Maui, Hawaii",Melamprosops phaeosoma,853,854,853.5,Extinction at least 500-999 years after arrival
Rattus rattus,"Maui, Hawaii",Melamprosops phaeosoma,124,134,129,Extinction at least 100-499 years after arrival
Rattus norvegicus,"Maui, Hawaii",Melamprosops phaeosoma,225,226,225.5,Extinction at least 100-499 years after arrival
Mus musculus,"Socorro, Mexico",Zenaida graysoni,13,22,17.5,Extinction within 100 years of arrival
Rattus rattus,"Oahu, Hawaii",Hemignathus lucidus,-4,30,13,Extinction before or after arrival
Rattus rattus,"Tahiti, French Polynesia",Ducula aurorae,67,239,153,Extinction within 100 years of arrival
Rattus exulans,Hawaiian Islands,Anas laysanensis,-37,63,13,Extinction before or after arrival
Rattus rattus,Hawaiian Islands,Anas laysanensis,-766,-657,-711.5,Extinction before arrival
Rattus norvegicus,Hawaiian Islands,Anas laysanensis,-665,-565,-615,Extinction before arrival
Rattus rattus,"Nuku Hiva, French Polynesia",Vini ultramarina,61,89,75,Extinction within 100 years of arrival
Rattus rattus,"Ua Pou, French Polynesia",Vini ultramarina,10,37,23.5,Extinction within 100 years of arrival
Rattus rattus,"Fatu Hiva, French Polyneisa",Vini ultramarina,7,7,7,Extinction within 100 years of arrival
Rattus exulans,"Rapa, French Polynesia",Puffinus myrtae,675,788,731.5,Extinction at least 500-999 years after arrival
Rattus rattus,"Lundy, United Kingdom",Fratercula arctica,356,381,368.5,Extinction at least 100-499 years after arrival
Rattus norvegicus,"Lundy, United Kingdom",Fratercula arctica,86,186,136,Extinction within 100 years of arrival
Rattus rattus,"Great Barrier Island, New Zealand",Pterodroma cookii,122,147,134.5,Extinction at least 100-499 years after arrival
Rattus exulans,"Great Barrier Island, New Zealand",Pterodroma cookii,782,1909,1345.5,Extinction at least 500-999 years after arrival
Rattus rattus,"San Pietro Island, Sardinia",Puffinus yelkouan,2059,2059,2059,"Extinction at least 1,000 years after arrival"
Rattus rattus,Tristan da Cunha,Diomedea dabbenena,-13,43,15,Extinction before or after arrival
Mus musculus,Tristan da Cunha,Diomedea dabbenena,44,224,134,Extinction within 100 years of arrival
Rattus exulans,"Ducie, Pitcairn islands",Pterodroma atrata,772,842,807,Extinction at least 500-999 years after arrival
Rattus rattus,"Orofero valley, Tahiti",Pomarea nigra,87,243,165,Extinction within 100 years of arrival
Rattus rattus,"Cousine Island, Seychelles",Zosterops modestus,63,63,63,Extinction within 100 years of arrival
Rattus norvegicus,"Cousine Island, Seychelles",Zosterops modestus,63,64,63.5,Extinction within 100 years of arrival
Rattus rattus,"Alphonse, Seychelles",Copsychus sechellarum,173,173,173,Extinction at least 100-499 years after arrival
Rattus rattus,"Mahe, Seychelles",Copsychus sechellarum,107,132,119.5,Extinction at least 100-499 years after arrival
Rattus rattus,"Mahe, Seychelles",Copsychus sechellarum,-114,-94,-104,Extinction before arrival
Rattus rattus,"Marianne, Seychelles",Copsychus sechellarum,113,188,150.5,Extinction at least 100-499 years after arrival
Rattus norvegicus,"Marianne, Seychelles",Copsychus sechellarum,-50,26,-12,Extinction before or after arrival
Rattus rattus,"Aride, Seychelles",Copsychus sechellarum,-50,25,-12.5,Extinction before or after arrival
Rattus norvegicus,"Aride, Seychelles",Copsychus sechellarum,-50,26,-12,Extinction before or after arrival
Rattus rattus,Anacapa Island,Ptychoramphus aleuticus,-28,-4,-16,Extinction before arrival
Rattus rattus,Saint-Paul Island,Pachyptila macgillivrayi,121,207,164,Extinction at least 100-499 years after arrival
Mus musculus,Saint-Paul Island,Pachyptila macgillivrayi,121,207,164,Extinction at least 100-499 years after arrival
Rattus rattus,"North Island, New Zealand",Notiomystis cincta,23,23,23,Extinction within 100 years of arrival
Rattus rattus,"Great Barrier Island, New Zealand",Notiomystis cincta,23,23,23,Extinction within 100 years of arrival
Rattus rattus,Tristan da Cunha,Nesospiza acunhae,-10,18,4,Extinction before or after arrival
Mus musculus,Tristan da Cunha,Nesospiza acunhae,72,199,135.5,Extinction within 100 years of arrival
